노선번호,시간,승차,하차
line_1,506," 88,136 "," 35,394 "
line_1,607," 114,628 "," 195,028 "
line_1,708," 259,282 "," 483,162 "
line_1,809," 384,892 "," 1,165,703 "
line_1,910," 315,797 "," 791,704 "
line_1,1011," 340,972 "," 585,759 "
line_1,1112," 411,897 "," 570,545 "
line_1,1213," 471,989 "," 577,067 "
line_1,1314," 558,377 "," 625,046 "
line_1,1415," 589,343 "," 614,026 "
line_1,1516," 648,960 "," 562,101 "
line_1,1617," 721,442 "," 534,743 "
line_1,1718," 791,417 "," 538,330 "
line_1,1819," 1,044,776 "," 614,387 "
line_1,1920," 810,482 "," 536,975 "
line_1,2021," 608,066 "," 332,645 "
line_1,2122," 647,624 "," 256,063 "
line_1,2223," 576,958 "," 218,944 "
line_1,2324," 260,729 "," 143,872 "
line_1,2401," 21,167 "," 49,352 "
line_2,506," 608,841 "," 140,073 "
line_2,607," 1,079,186 "," 947,840 "
line_2,708," 2,960,789 "," 2,323,675 "
line_2,809," 3,914,929 "," 5,683,879 "
line_2,910," 2,419,350 "," 3,681,729 "
line_2,1011," 1,810,982 "," 2,227,083 "
line_2,1112," 1,847,789 "," 1,957,278 "
line_2,1213," 1,990,964 "," 2,048,620 "
line_2,1314," 2,256,231 "," 2,258,128 "
line_2,1415," 2,263,081 "," 2,277,321 "
line_2,1516," 2,445,765 "," 2,320,157 "
line_2,1617," 2,694,321 "," 2,509,341 "
line_2,1718," 3,306,132 "," 2,906,478 "
line_2,1819," 4,810,661 "," 3,920,994 "
line_2,1920," 3,565,184 "," 3,795,179 "
line_2,2021," 2,732,977 "," 2,483,388 "
line_2,2122," 2,716,860 "," 2,186,050 "
line_2,2223," 2,584,664 "," 2,235,893 "
line_2,2324," 1,212,806 "," 1,555,272 "
line_2,2401," 172,373 "," 524,783 "
line_3,506," 149,909 "," 32,401 "
line_3,607," 344,768 "," 367,128 "
line_3,708," 1,008,133 "," 860,319 "
line_3,809," 1,301,035 "," 1,965,442 "
line_3,910," 843,939 "," 1,397,623 "
line_3,1011," 688,982 "," 893,435 "
line_3,1112," 719,544 "," 792,088 "
line_3,1213," 788,290 "," 787,853 "
line_3,1314," 870,152 "," 855,295 "
line_3,1415," 874,658 "," 864,679 "
line_3,1516," 952,321 "," 870,808 "
line_3,1617," 1,050,130 "," 910,555 "
line_3,1718," 1,212,098 "," 1,010,369 "
line_3,1819," 1,656,305 "," 1,221,641 "
line_3,1920," 1,227,847 "," 1,152,751 "
line_3,2021," 913,682 "," 762,787 "
line_3,2122," 842,636 "," 642,464 "
line_3,2223," 717,158 "," 614,223 "
line_3,2324," 288,744 "," 420,273 "
line_3,2401," 33,938 "," 133,203 "
line_4,506," 244,178 "," 39,220 "
line_4,607," 555,232 "," 349,259 "
line_4,708," 1,478,641 "," 810,309 "
line_4,809," 1,666,148 "," 1,874,381 "
line_4,910," 1,080,607 "," 1,400,291 "
line_4,1011," 845,377 "," 996,974 "
line_4,1112," 853,473 "," 932,328 "
line_4,1213," 921,995 "," 969,866 "
line_4,1314," 1,010,356 "," 1,044,774 "
line_4,1415," 1,021,972 "," 1,078,274 "
line_4,1516," 1,099,173 "," 1,082,843 "
line_4,1617," 1,208,057 "," 1,114,499 "
line_4,1718," 1,405,470 "," 1,272,524 "
line_4,1819," 1,705,617 "," 1,590,516 "
line_4,1920," 1,282,398 "," 1,615,932 "
line_4,2021," 1,034,818 "," 1,122,216 "
line_4,2122," 1,001,286 "," 945,111 "
line_4,2223," 925,633 "," 908,488 "
line_4,2324," 452,658 "," 662,564 "
line_4,2401," 57,970 "," 211,697 "
